geom,sol,site,pos,Ls,SCLK_START,SCLK_END,lat_dd,lon_dd,easting_m,northing_m,elev_m,straightli,straight_1,traverse_d,total_dist,dist_bradb,azimuth_br,pitch_rad,roll_rad,tilt_rad,yaw_rad,pitch_deg,roll_deg,tilt_deg,yaw_deg,mobtrav_id,mobtrav_to,drive_type,site_pos,5_drive_av,sol_site_p,ORIG_FID
01010000A0E6100000E9F2E9C9D82B6140A1B053C8E9AB12C000000000825FB1C0,1037,48,1964,9.1,489552794.1,489555670,-4.66788399,137.3702135,8142577.852,-276687.412,-4447.507813,5.347,35.264,5.458,10644,6287.024137,0,-0.17131,-0.04785,0.17781,0.28456,-9.815339988,-2.74160305,10.18776256,16.30408702,5.503417,10861.3519,final,48_1964,14.62828467,1037_48_1964,-1
01010000A0E6100000BB194EC6D82B6140B4FE4738EBAB12C000000000825FB1C0,1039,48,1970,10.6,489741255.2,489741720.2,-4.66788948,137.3702117,8142577.75,-276687.737,-4447.507813,0.341,197.3,0.341,10644,6287.333101,0,-0.14678,-0.04733,0.15417,0.28118,-8.409874517,-2.711809244,8.833290328,16.11042728,0.333199,10861.68509,final,48_1970,13.64824283,1039_48_1970,-1
01010000A0E6100000D82A4CEED62B6140AC043F01F9AB12C0A2FAFF1FF95FB1C0,1042,48,2122,12,489989094.9,489995692.3,-4.66794206,137.3699867,8142564.409,-276690.854,-4447.973145,13.657,256.808,17.003,10661,6298.62535,0,0.00635,0.06577,0.06607,-2.23673,0.3638282,3.768343419,3.785532152,-128.1551889,16.898861,10878.58395,final,48_2122,10.84564067,1042_48_2122,-1
01010000A0E6100000F72790A8D62B61401C9F54BF14AC12C07A150080F15FB1C0,1044,48,2200,13,490186054.9,490188624.3,-4.66804789,137.3699534,8142562.438,-276697.127,-4447.943359,6.573,197.397,8.542,10670,6304.587558,0,-0.0063,-0.11537,0.11555,2.7055,-0.360963411,-6.610214082,6.620527323,155.0137315,8.617515,10887.20147,final,48_2200,11.82544117,1044_48_2200,-1
01010000A0E61000001DD054BDD62B6140CB34A89319AC12C0000000000560B1C0,1046,48,2224,13.9,490348154.3,490356050.6,-4.66806632,137.3699633,8142563.025,-276698.219,-4448.019531,1.239,151.828,1.239,10671,6304.99885,0,0.00263,-0.1262,0.12623,2.70919,0.1506879,-7.230727375,7.232446248,155.2251529,1.24164,10888.44311,final,48_2224,11.28350233,1046_48_2224,-1
01010000A0E61000001725A556D82B61401D23BC9206AC12C043F5FF3F035FB1C0,1049,48,2422,15.3,490619091.9,490622049.7,-4.66799382,137.3701585,8142574.594,-276693.922,-4447.012695,12.306,69.56,20.65,10692,6294.031218,0,0.26506,0.02386,0.26611,1.59462,15.18681932,1.367077299,15.24697989,91.36499593,21.022499,10909.46561,final,48_2422,8.9361885,1049_48_2422,-1
01010000A0E61000003341A301D92B614065EDE7E603AC12C07A150080C85EB1C0,1051,48,2470,16.3,490798305.1,490799311.1,-4.66798364,137.37024,8142579.427,-276693.318,-4446.783203,4.853,82.978,6.421,10698,6290.332155,0,0.01891,-0.11201,0.11359,1.48774,1.083463191,-6.417700263,6.508227595,85.24122301,6.018533,10915.48414,final,48_2470,9.022041167,1051_48_2470,-1
01010000A0E61000009A66906FD92B6140AC31AD6911AC12C0BD0A00C0B15EB1C0,1053,48,2518,17.2,490973580.2,490974567.3,-4.66803517,137.3702925,8142582.534,-276696.373,-4446.694336,4.349,134.611,4.354,10703,6290.503753,0,-0.03956,0.03268,0.05131,1.58774,-2.266621038,1.872426074,2.939846447,90.97080096,4.421974,10919.90612,final,48_2518,9.703503667,1053_48_2518,-1
01010000A0E6100000D136687CD92B6140C35260C20EAC12C01B1000A0D45EB1C0,1056,48,2542,18.7,491241629.9,491242395.7,-4.66802506,137.3702986,8142582.897,-276695.773,-4446.830566,0.7,31.139,0.914,10704,6289.81553,0,-0.00978,0.08793,0.08848,0.58337,-0.560352724,5.038017893,5.069530571,33.42463889,0.941999,10920.84812,final,48_2542,7.044026667,1056_48_2542,-1
01010000A0E61000003842EB4DD62B614010CA698706AC12C01B1000A0C95FB1C0,1066,48,2794,23.4,492126928.2,492131354.4,-4.66799366,137.3699102,8142559.876,-276693.912,-4447.787598,23.02,274.637,25.463,10729,6303.94019,0,0.1701,-0.06084,0.18055,-2.6064,9.746012095,-3.485875226,10.34475299,-149.3357197,25.349412,10946.19753,final,48_2794,9.832676167,1066_48_2794,-1
01010000A0E6100000C84E8F4BD72B614045C28D094DAC12C01B1000A0185FB1C0,1067,49,0,23.8,492217289.3,492219652,-4.66826262,137.3700312,8142567.045,-276709.855,-4447.096191,17.471,155.86,18.723,10748,6310.89769,0,0.10128,-0.159,0.18829,2.19846,5.802916549,-9.110028943,10.78822232,125.9624794,18.330746,10964.52827,final,49_0,12.6808605,1067_49_0,-1
01010000A0E6100000C35BECE4D32B61400C7CA4EDBAAC12C043F5FF3FF55CB1C0,1072,49,294,26.1,492660085.2,492664060.2,-4.66868183,137.369616,8142542.437,-276734.703,-4444.958008,34.914,224.626,35.094,10783,6345.836713,0,0.06175,0.03018,0.06872,-2.59783,3.538014385,1.729186626,3.937365968,-148.8446949,35.234316,10999.76259,final,49_294,15.04949667,1072_49_294,-1
