target_plan,Sequence,inst_type,notes
Cal Target 6,ccam05796,CCAM, 
Cal Target 4,ccam05796,CCAM, 
Cal Target 3,ccam05796,CCAM, 
Cal Target 2,ccam05796,CCAM, 
Hackberry_Spring,ccam01799,CCAM, 
Hole_in_the_Wall,ccam01801,CCAM, 
Soda,ccam02801,CCAM, 
Harold,ccam03801,CCAM, 
Manix,ccam04801,CCAM, 
Bopesta,ccam05801,CCAM, 
Sky,ccam01815,CCAM, 
Tehachapi,ccam02815,CCAM, 
Tehachapi,ccam03815,CCAM, 
Punchbowl_CCAM,ccam01816,CCAM, 
Afton_Canyon_CCAM,ccam02816,CCAM, 
Topanga_CCAM,ccam03816,CCAM, 
Sky,ccam04816,CCAM, 
Mescal,ccam01819,CCAM, 
Mescal,ccam02819,CCAM, 
Aztec_819,ccam03819,CCAM, 
Aztec_819,ccam04819,CCAM, 
Rodent_Hill,ccam01820,CCAM, 
Coyote_Basin,ccam02820,CCAM, 
Zenith Sky Flat,ccam04820,CCAM, 
Mescal,ccam01823,CCAM, 
Horned_Toad,ccam02823,CCAM, 
Puente,ccam01826,CCAM, 
Jackhammer,ccam02826,CCAM, 
Jackhammer,ccam03826,CCAM, 
Sky,ccam01828,CCAM, 
Cal Target 10,ccam03828,CCAM, 
Goldstone_DRT,ccam01830,CCAM, 
Goldstone_DRT,ccam02830,CCAM, 
Pickhandle_DRT,ccam03830,CCAM, 
Pickhandle_DRT,ccam04830,CCAM, 
Goler_Gulch,ccam05830,CCAM, 
Goler_Gulch,ccam06830,CCAM, 
CCAM_CCCT_Pass_Triad,ccam07830,CCAM, 
MCAM_CT_White_Raster,ccam08830,CCAM, 
MCAM_CT_Triad,ccam09830,CCAM, 
Vaqueros_01,ccam01833,CCAM, 
Vaqueros_02,ccam02833,CCAM, 
Vaqueros_03,ccam03833,CCAM, 
Goldstone_ccam,ccam01835,CCAM, 
Cucumongo,ccam02835,CCAM, 
Cowhole_Mountain,ccam01837,CCAM, 
Cowhole_Mountain,ccam02837,CCAM, 
Sky,ccam04837,CCAM, 
Cal Target 10,ccam05837,CCAM, 
Cal Target 6,ccam06837,CCAM, 
Tin_Can_Alley,ccam01840,CCAM, 
Neenach,ccam02840,CCAM, 
Turret_Sieve,ccam04840,CCAM, 
Fairview_Valley,ccam01842,CCAM, 
Gem_Hill,ccam02842,CCAM, 
Telescope_Peak,ccam03842,CCAM, 
Galena_Canyon,ccam01843,CCAM, 
Revenue_Canyon,ccam02843,CCAM, 
Oso_Canyon,ccam03843,CCAM, 
Osborne_Canyon,ccam04843,CCAM, 
Santa_Ana_DRT,ccam01853,CCAM, 
Peach_Spring,ccam02853,CCAM, 
Lane_Mountain,ccam03853,CCAM, 
Newberry,ccam04853,CCAM, 
Sky,ccam06853,CCAM, 
Tecoya_ccam,ccam01861,CCAM, 
Newberry,ccam02861,CCAM, 
Last_Chance_Canyon,ccam03861,CCAM, 
Sky,ccam01862,CCAM, 
Cal Target 4,ccam02862,CCAM, 
Cal Target 2,ccam03862,CCAM, 
Cal Target 1,ccam04862,CCAM, 
Harrisburg,ccam01864,CCAM, 
Beers,ccam02864,CCAM, 
Beers,ccam03864,CCAM, 
Beers,ccam04864,CCAM, 
Sky,ccam06864,CCAM, 
Mojave_Bedrock,ccam01869,CCAM, 
Mojave_Chunks,ccam02869,CCAM, 
Mojave_Chunks_Passive,ccam03869,CCAM, 
Mojave_Mini_Drill_Bottom,ccam04869,CCAM, 
Funk_Valley_RP,ccam01871,CCAM, 
Rainbow_Basin,ccam02871,CCAM, 
Sky,ccam04871,CCAM, 
Mojave2_DTa,ccam01883,CCAM, 
Mojave2_DTb,ccam02883,CCAM, 
Mojave2_MDH,ccam03883,CCAM, 
Sky,ccam01885,CCAM, 
Mojave2_MDH_ChemCam,ccam02885,CCAM, 
Mojave2_FDH_ChemCam,ccam03885,CCAM, 
Mojave2_PSDP_CC,ccam01889,CCAM, 
Mojave2_presieve_dump,ccam02889,CCAM, 
Providence_Mountains,ccam01890,CCAM, 
Mount_Lowe,ccam02890,CCAM, 
Mount_Wilson,ccam03890,CCAM, 
Searles,ccam04890,CCAM, 
MCAM_CT_White_Raster,ccam05890,CCAM, 
CCAM_CCCT_Pass_Triad,ccam01891,CCAM, 
Lamerdorf,ccam02891,CCAM, 
MCAM_CT_Triad,ccam03891,CCAM, 
San_Francisquito_ccam,ccam04891,CCAM, 
San_Francisquito_ccam,ccam06891,CCAM, 
Turret_Sieve,ccam01894,CCAM, 
Black_Dragon,ccam03894,CCAM, 
Mojave2_post_sieve_dump,ccam01896,CCAM, 
Mojave2_post_sieve_dump,ccam02896,CCAM, 
San_Francisquito_ccam,ccam03896,CCAM, 
Sky,ccam05896,CCAM, 
Cal Target 10,ccam06896,CCAM, 
Osiris,ccam01899,CCAM, 
Garley,ccam02899,CCAM, 
Sky,ccam03899,CCAM, 
Cal Target 10,ccam05899,CCAM, 
Cal Target 9,ccam05899,CCAM, 
Cal Target 8,ccam05899,CCAM, 
Cal Target 7,ccam05899,CCAM, 
Cal Target 6,ccam05899,CCAM, 
Cal Target 4,ccam05899,CCAM, 
Cal Target 3,ccam05899,CCAM, 
Cal Target 2,ccam05899,CCAM, 
Cal Target 1,ccam05899,CCAM, 
Emery,ccam01903,CCAM, 
Elbert,ccam02903,CCAM, 
Cal Target 1,ccam03903,CCAM, 
Cal Target 10,ccam04903,CCAM, 
Cal Target 10,ccam05903,CCAM, 
Telegraph_Peak_ccam,ccam01905,CCAM, 
Telegraph_Peak_ccam,ccam02905,CCAM, 
Brazer,ccam03905,CCAM, 
Crazy_Hollow,ccam04905,CCAM, 
Sky,ccam01908,CCAM, 
Tapeats,ccam02908,CCAM, 
Humbug,ccam03908,CCAM, 
Telegraph_Peak_DT,ccam01910,CCAM, 
Telegraph_Peak_Drill_Hole,ccam02910,CCAM, 
Bluff,ccam03910,CCAM, 
Tintic,ccam04910,CCAM, 
Sky,ccam01914,CCAM, 
Telegraph_Peak_drill_hole,ccam02914,CCAM, 
Bluff_3,ccam03914,CCAM, 
Cal Target 11,ccam01915,CCAM, 
Castlegate,ccam02915,CCAM, 
Ferron,ccam03915,CCAM, 
Laketown,ccam04915,CCAM, 
Castlegate_2,ccam01916,CCAM, 
Telegraph_Peak_drill_hole_2,ccam02916,CCAM, 
Ivanpah_ccam,ccam03916,CCAM, 
Cal Target 10,ccam04916,CCAM, 
Simonson,ccam01917,CCAM, 
Ophir_ccam,ccam01918,CCAM, 
Keetley_ccam,ccam02918,CCAM, 
Sky,ccam03918,CCAM, 
Telegraph_Peak_drill_hole_3,ccam04918,CCAM, 
Whitmore,ccam05918,CCAM, 
Cal Target 10,ccam01921,CCAM, 
Cal Target 10,ccam02921,CCAM, 
Telegraph_Peak_drill_hole_4,ccam03921,CCAM, 
Old_woman,ccam04921,CCAM, 
Marsden,ccam05921,CCAM, 
Whitmore_2,ccam01922,CCAM, 
Hennefer,ccam01924,CCAM, 
Cal Target 1,ccam02924,CCAM, 
Sky,ccam01925,CCAM, 
San_Timoteo,ccam02925,CCAM, 
Sinawava,ccam03925,CCAM, 
Sky,ccam05925,CCAM, 
Ouray,ccam01928,CCAM, 
Hoskinnini,ccam02928,CCAM, 
Swasey,ccam01930,CCAM, 
Aneth,ccam01935,CCAM, 
Aneth_2,ccam02935,CCAM, 
Sky,ccam03935,CCAM, 
Hakatai,ccam04935,CCAM, 
Sky,ccam06935,CCAM, 
Telegraph_PK_PreSieve_Dump,ccam01937,CCAM, 
Alvord,ccam02937,CCAM, 
Indianola,ccam03937,CCAM, 
Hyrum,ccam04937,CCAM, 
Live_Oak_Canyon,ccam01939,CCAM, 
Idyllwild,ccam02939,CCAM, 
Blanco_Mountain,ccam03939,CCAM, 
MCAM_CT_White_Raster,ccam05939,CCAM, 
MCAM_CT_Triad,ccam06939,CCAM, 
Piru,ccam01942,CCAM, 
Little_Devil,ccam02942,CCAM, 
Tierra_Blanca,ccam03942,CCAM, 
Coso,ccam01944,CCAM, 
Sky,ccam02944,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03944,CCAM, 
Cal Target 3,ccam04944,CCAM, 
Cal Target 10,ccam05944,CCAM, 
Cal Target 10,ccam06944,CCAM, 
Elsinore,ccam01946,CCAM, 
Bishop,ccam02946,CCAM, 
Sky,ccam04946,CCAM, 
White_Mountain,ccam05946,CCAM, 
Sky,ccam06946,CCAM, 
Temblor,ccam01948,CCAM, 
Lindavista,ccam02948,CCAM, 
Tip_Top_Mountain,ccam01951,CCAM, 
Joshua_Tree,ccam02951,CCAM, 
Zzyzx_Spring,ccam01952,CCAM, 
Salton,ccam02952,CCAM, 
Eaton_Canyon,ccam01953,CCAM, 
Eaton_Canyon,ccam02953,CCAM, 
Eaton_Canyon,ccam03953,CCAM, 
Eaton_Canyon_2,ccam01955,CCAM, 
Telegraph_peak_post-sieve_dump_pile_ccam,ccam02955,CCAM, 
Cal Target 7,ccam01956,CCAM, 
Lewis,ccam01957,CCAM, 
Cal Target 8,ccam03957,CCAM, 
Sky,ccam01958,CCAM, 
Cal Target 9,ccam03958,CCAM, 
Gold,ccam01959,CCAM, 
Espinoza,ccam02959,CCAM, 
Cal Target 10,ccam03959,CCAM, 
Cal Target 5,ccam04959,CCAM, 
Apple,ccam01963,CCAM, 
Blackrock_1,ccam01964,CCAM, 
Blackrock_2,ccam02964,CCAM, 
CCCT_FOR_SKY_PASS,ccam04964,CCAM, 
Sky_Obs_2X,ccam05964,CCAM, 
CCCT_FOR_SKY_PASS,ccam06964,CCAM, 
Pablo,ccam01966,CCAM, 
Pauline,ccam02966,CCAM, 
Cal Target 6 Kaolinite 95A,ccam03966,CCAM, 
Cal Target 1,ccam04966,CCAM, 
Flathead,ccam01969,CCAM, 
Fern,ccam02969,CCAM, 
Gunsight,ccam03969,CCAM, 
High_Park,ccam04969,CCAM, 
Hungry_Horse,ccam06969,CCAM, 
Helena,ccam01971,CCAM, 
Lolo,ccam02971,CCAM, 
Cal Target 4,ccam03971,CCAM, 
Charity_ccam,ccam01973,CCAM, 
Albert,ccam02973,CCAM, 
Empire,ccam03973,CCAM, 
Sky_Obs_2X,ccam05973,CCAM, 
Sky_Obs_2X,ccam01976,CCAM, 
Cal Target 10,ccam02976,CCAM, 
Cal Target 7,ccam03976,CCAM, 
Cal Target 8,ccam04976,CCAM, 
Big_Salmon,ccam01978,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03978,CCAM, 
MCAM_CT_White_Raster,ccam04978,CCAM, 
MCAM_CT_Triad,ccam05978,CCAM, 
Silver_Valley,ccam01980,CCAM, 
Snowslip,ccam02980,CCAM, 
Cal Target 10,ccam15031,CCAM, 
Cal Target 10,ccam15032,CCAM, 
Cal Target 4,ccam15033,CCAM, 
Cal Target 4,ccam15034,CCAM, 
Una,ccam15035,CCAM, 
Una,ccam15036,CCAM, 
Yellowjacket,ccam01986,CCAM, 
Yellowjacket,ccam02986,CCAM, 
Mill,ccam01987,CCAM, 
Spokane,ccam01989,CCAM, 
Pinedale,ccam01990,CCAM, 
Petty,ccam01991,CCAM, 
Elk,ccam01992,CCAM, 
Bull,ccam02992,CCAM, 
Hoodoo,ccam02993,CCAM, 
Pinehaven,ccam03993,CCAM, 
Mission,ccam01997,CCAM, 
Missoula,ccam02997,CCAM, 
Ronan_drt_2,ccam01998,CCAM, 
Big_Arm,ccam02998,CCAM, 
Newland,ccam02000,CCAM, 
Big_Arm_2,ccam03000,CCAM, 
Piegan,ccam01027,CCAM, 
Wallace_ccam1,ccam02027,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03027,CCAM, 
MCAM_CT_White_Raster,ccam04027,CCAM, 
MCAM_CT_Triad,ccam05027,CCAM, 
Lemhi,ccam01030,CCAM, 
Lowary,ccam02030,CCAM, 
Selow,ccam01031,CCAM, 
Clark,ccam02031,CCAM, 
Wapiti,ccam03031,CCAM, 
Seeley_1031,ccam04031,CCAM, 
Coombs,ccam01032,CCAM, 
Regis,ccam02032,CCAM, 
Spotted_Bear,ccam03032,CCAM, 
Snow_Bowl,ccam01033,CCAM, 
Lumpry,ccam02033,CCAM, 
Sky_Obs_2X,ccam03033,CCAM, 
Thunderbolt,ccam04033,CCAM, 
Burke,ccam01037,CCAM, 
Polson,ccam02037,CCAM, 
Bonner,ccam03037,CCAM, 
Cal Target 4,ccam04037,CCAM, 
Cal Target 3,ccam05037,CCAM, 
Pistol,ccam01039,CCAM, 
Mary,ccam02039,CCAM, 
Shepard,ccam03039,CCAM, 
Dublin_Gulch,ccam04039,CCAM, 
Sky_Obs_2X,ccam01041,CCAM, 
Monarch,ccam02041,CCAM, 
Frog,ccam03041,CCAM, 
Mosquito,ccam04041,CCAM, 
Cal Target 9,ccam05041,CCAM, 
Cal Target 2,ccam06041,CCAM, 
Edith,ccam01044,CCAM, 
Sheffer,ccam02044,CCAM, 
Finley,ccam03044,CCAM, 
Cal Target 10,ccam04044,CCAM, 
Cal Target 8,ccam05044,CCAM, 
Cal Target 7,ccam06044,CCAM, 
Mustang,ccam01046,CCAM, 
Cal Target 6,ccam02046,CCAM, 
Cal Target 5,ccam03046,CCAM, 
Cal Target 1,ccam04046,CCAM, 
Pinto,ccam01048,CCAM, 
Palomino,ccam02048,CCAM, 
Turret_Sieve,ccam04048,CCAM, 
Sky_Obs_2X,ccam05048,CCAM, 
Sky_Obs_2X,ccam01051,CCAM, 
Agency,ccam02051,CCAM, 
Mullan,ccam03051,CCAM, 
Sky_Obs_2X,ccam04051,CCAM, 
Sorrel_Springs,ccam01053,CCAM, 
Buckskin,ccam02053,CCAM, 
Hewolf,ccam03053,CCAM, 
Cal Target 10,ccam04053,CCAM, 
Cal Target 5,ccam05053,CCAM, 
Marent,ccam01055,CCAM, 
Pilcher,ccam02055,CCAM, 
Beckwith,ccam03055,CCAM, 
Twinkle,ccam04055,CCAM, 
Blind_Gulch,ccam01057,CCAM, 
Sorrel_Springs_2,ccam02057,CCAM, 
Buffalo_Basin,ccam03057,CCAM, 
Chpaaqn,ccam01059,CCAM, 
Chpaaqn,ccam02059,CCAM, 
Buckskin_Full_Drill_Hole,ccam01061,CCAM, 
Buckskin_Full_Drill_Hole_Tailings_ccam ,ccam02061,CCAM, 
Buckskin_Full_Drill_Hole_Tailings_ccam,ccam03061,CCAM, 
Diamond_Point,ccam04061,CCAM, 
Summer_Hill,ccam05061,CCAM, 
Chpaaqn ,ccam01064,CCAM, 
Buckskin_Full_Drill_Hole_ccam,ccam02064,CCAM, 
Mountain_Home,ccam03064,CCAM, 
Martz,ccam04064,CCAM, 
McClure,ccam01065,CCAM, 
Buffalo_Basin,ccam02065,CCAM, 
Marent_1065,ccam03065,CCAM, 
Moiese,ccam01066,CCAM, 
Sky_Obs_2X,ccam01067,CCAM, 
Dixon,ccam02067,CCAM, 
Doney,ccam03067,CCAM, 
Coombs_1067,ccam01071,CCAM, 
Missoula_A,ccam02071,CCAM, 
Missoula_B,ccam03071,CCAM, 
Missoula_C,ccam04071,CCAM, 
Stenerson,ccam01072,CCAM, 
Missoula_D,ccam02072,CCAM, 
Crazy_Mountain,ccam01074,CCAM, 
Butler,ccam01075,CCAM, 
Evaro,ccam02075,CCAM, 
Coldwater,ccam03075,CCAM, 
Alberton,ccam04075,CCAM, 
Cal Target 10,ccam05075,CCAM, 
Huson,ccam01078,CCAM, 
Sky_Obs_2X,ccam03078,CCAM, 
CCAM_CCCT_Pass_Triad,ccam04078,CCAM, 
MCAM_CT_White_Raster,ccam05078,CCAM, 
MCAM_CT_Triad,ccam06078,CCAM, 
Red_Lodge,ccam01080,CCAM, 
Mowry,ccam02080,CCAM, 
Rosebud,ccam03080,CCAM, 
Sky_Obs_2X,ccam04080,CCAM, 
Sky_Obs_2X,ccam05080,CCAM, 
Ravalli,ccam01082,CCAM, 
Sawtooth,ccam02082,CCAM, 
Stonewall,ccam03082,CCAM, 
Wolsey,ccam04082,CCAM, 
Cal Target 10,ccam05082,CCAM, 
Cal Target 9,ccam05082,CCAM, 
Cal Target 8,ccam05082,CCAM, 
Cal Target 7,ccam05082,CCAM, 
Cal Target 6,ccam05082,CCAM, 
Cal Target 4,ccam05082,CCAM, 
Cal Target 3,ccam05082,CCAM, 
Cal Target 2,ccam05082,CCAM, 
Tinder_Box,ccam01085,CCAM, 
Gordon,ccam02085,CCAM, 
Sky_Obs_2X,ccam03085,CCAM, 
Fitzpatrick,ccam01087,CCAM, 
Keith,ccam02087,CCAM, 
Fred_and_George_Creek,ccam03087,CCAM, 
Turret_Sieve_mosaic_A,ccam15410,CCAM, 
Bearpaw,ccam01089,CCAM, 
OBriens_Creek,ccam02089,CCAM, 
Fox_Hills,ccam03089,CCAM, 
Horseshoe_Hills,ccam01092,CCAM, 
SwitchBack,ccam02092,CCAM, 
Swimming_Woman_Canyon,ccam03092,CCAM, 
Tippy_Buttes,ccam04092,CCAM, 
Interlake,ccam01093,CCAM, 
Ledger_DRT_CCAM,ccam02093,CCAM, 
Mackay_Dome,ccam03093,CCAM, 
Whitewater,ccam01094,CCAM, 
Whitefish,ccam02094,CCAM, 
Cal Target 10,ccam03094,CCAM, 
Bullwacker,ccam01095,CCAM, 
Damnation,ccam02095,CCAM, 
Bootlegger,ccam03095,CCAM, 
Hell_Creek,ccam04095,CCAM, 
Sober_Up_Creek,ccam05095,CCAM, 
Sky_Obs_2X,ccam06095,CCAM, 
Cal Target 10,ccam01099,CCAM, 
Mission_Creek,ccam02099,CCAM, 
Chamberlain,ccam03099,CCAM, 
Swan,ccam01100,CCAM, 
Sunburst,ccam02100,CCAM, 
Brady,ccam01101,CCAM, 
Bradley,ccam02101,CCAM, 
Madison,ccam01102,CCAM, 
Jefferson,ccam02102,CCAM, 
Light_Toned_Ridge,ccam03102,CCAM, 
Lincoln,ccam04102,CCAM, 
Winnipeg,ccam01105,CCAM, 
Blackjack,ccam02105,CCAM, 
Alma,ccam03105,CCAM, 
Cat_Creek,ccam01106,CCAM, 
Prichard,ccam02106,CCAM, 
Wagon_Box,ccam01107,CCAM, 
Weed_Creek,ccam02107,CCAM, 
Sphinx,ccam01108,CCAM, 
Houle,ccam02108,CCAM, 
Utopia,ccam03108,CCAM, 
Cody,ccam01109,CCAM, 
Leroy,ccam02109,CCAM, 
Meeteetse,ccam03109,CCAM, 
Fisch_Scale,ccam04109,CCAM, 
Sky_Obs_2X,ccam05109,CCAM, 
Dakota,ccam01112,CCAM, 
Conrad,ccam02112,CCAM, 
Firemoon,ccam03112,CCAM, 
CCAM_CCCT_Pass_Triad,ccam04112,CCAM, 
MCAM_CT_White_Raster,ccam05112,CCAM, 
MCAM_CT_Triad,ccam06112,CCAM, 
Cal Target 10,ccam07112,CCAM, 
Big_Sky,ccam01114,CCAM, 
Big_Rock,ccam02114,CCAM, 
Mt_Sharp_1,ccam03114,CCAM, 
Heath,ccam04114,CCAM, 
Leigh,ccam05114,CCAM, 
Beartooth_Pass,ccam01116,CCAM, 
Bear_Trap_Canyon,ccam02116,CCAM, 
Beaverhead,ccam03116,CCAM, 
Birdbear,ccam04116,CCAM, 
Buffalo_Flat,ccam05116,CCAM, 
Big_Sky_Tailings,ccam01119,CCAM, 
Big_Sky_Full_Drill,ccam02119,CCAM, 
Devils_Basin,ccam03119,CCAM, 
Livingston,ccam04119,CCAM, 
Deadwood_ccam,ccam05119,CCAM, 
Minnekahta,ccam01121,CCAM, 
Kippen,ccam02121,CCAM, 
Kalispell,ccam03121,CCAM, 
Big_Snowies,ccam04121,CCAM, 
Big_Sky_tailings_ccam,ccam01123,CCAM, 
Big_Sky_Drill_Hole_ccam,ccam02123,CCAM, 
Frontier,ccam03123,CCAM, 
Mt_Sharp_2,ccam01126,CCAM, 
Canadian_Creek,ccam02126,CCAM, 
Sky_Obs_2X,ccam01128,CCAM, 
Benchmark,ccam02128,CCAM, 
Greenhorn_ccam,ccam03128,CCAM, 
Pilgrim,ccam04128,CCAM, 
Greenhorn_ccam2,ccam01133,CCAM, 
Gallatin_Pass,ccam02133,CCAM, 
Turret_Sieve_mosaic_B,ccam15411,CCAM, 
Nisku,ccam01136,CCAM, 
Skull_Creek,ccam02136,CCAM, 
Hawk_Creek,ccam03136,CCAM, 
Opeche,ccam04136,CCAM, 
Sky,ccam05136,CCAM, 
Big_Sky_Post_Sieve_Dump_Pile,ccam06136,CCAM, 
Sky,ccam07136,CCAM, 
Greenhorn_Tailings_CCAM,ccam01139,CCAM, 
Greenhorn_Drill_Hole_RMI,ccam02139,CCAM, 
Gypsy,ccam03139,CCAM, 
Tumbleweed,ccam04139,CCAM, 
Wrangle,ccam05139,CCAM, 
Greenhorn_Drill_Hole_1,ccam01140,CCAM, 
Greenhorn_Drill_Hole_2,ccam02140,CCAM, 
Marshall,ccam03140,CCAM, 
Greenhorn_Drill_Hole_RMI_Tailings,ccam01141,CCAM, 
Fort_Conrad,ccam02141,CCAM, 
Maywood,ccam01142,CCAM, 
Sky,ccam01146,CCAM, 
Belle_Fourche,ccam02146,CCAM, 
MCAM_CT_White_Raster,ccam01148,CCAM, 
MCAM_CT_Triad,ccam02148,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03148,CCAM, 
Cal Target 10,ccam04148,CCAM, 
Cal Target 9,ccam04148,CCAM, 
Cal Target 8,ccam04148,CCAM, 
Cal Target 7,ccam04148,CCAM, 
Cal Target 6,ccam04148,CCAM, 
Cal Target 4,ccam04148,CCAM, 
Cal Target 3,ccam04148,CCAM, 
Cal Target 2,ccam04148,CCAM, 
Dunkirk,ccam01150,CCAM, 
Duperow,ccam02150,CCAM, 
Ennis_ccam,ccam03150,CCAM, 
Exshaw,ccam04150,CCAM, 
Sky,ccam05150,CCAM, 
Sky,ccam06150,CCAM, 
Cal Target 6,ccam08150,CCAM, 
Tampico,ccam01153,CCAM, 
LaValle,ccam02153,CCAM, 
Muddy,ccam03153,CCAM, 
Sky,ccam04153,CCAM, 
Thermopolis,ccam01155,CCAM, 
Pinckney,ccam02155,CCAM, 
Bagnold_Dune_4_southern_slipface,ccam03155,CCAM, 
Cal Target 5,ccam04155,CCAM, 
Ashley_Lakes,ccam15038,CCAM, 
Amsden,ccam15038,CCAM, 
Augusta,ccam01157,CCAM, 
Cal Target 10,ccam02157,CCAM, 
Roter_Kamm,ccam01160,CCAM, 
Hoba,ccam02160,CCAM, 
Gibeon,ccam03160,CCAM, 
Sky,ccam04160,CCAM, 
Arris_Drift,ccam01162,CCAM, 
Tsumeb,ccam02162,CCAM, 
Zaris,ccam01166,CCAM, 
Swakop,ccam02166,CCAM, 
Bagnold_Dunes_No_UV,ccam01167,CCAM, 
Fish_River,ccam02167,CCAM, 
Etosha,ccam01168,CCAM, 
Abbabis,ccam01169,CCAM, 
Dordabis,ccam02169,CCAM, 
Kuibis,ccam03169,CCAM, 
Sky,ccam01170,CCAM, 
Tsumkwe,ccam02170,CCAM, 
Grootfontein,ccam03170,CCAM, 
Sinclair,ccam01174,CCAM, 
Cal Target 9,ccam02174,CCAM, 
Cal Target 5,ccam02174,CCAM, 
Sky,ccam03174,CCAM, 
Cal Target 9,ccam04174,CCAM, 
Cal Target 5,ccam04174,CCAM, 
Cal Target 10,ccam05174,CCAM, 
Karibib,ccam01177,CCAM, 
Hoarusib,ccam02177,CCAM, 
Cal Target 9,ccam01181,CCAM, 
Cal Target 8,ccam01181,CCAM, 
Cal Target 7,ccam01181,CCAM, 
Cal Target 6,ccam01181,CCAM, 
LD-1181,ccam02181,CCAM, 
Hoanib,ccam01182,CCAM, 
Awasib,ccam02182,CCAM, 
LD_1183_Mt_Sharp,ccam01183,CCAM, 
Salem,ccam15040,CCAM, 
Omaruru,ccam15040,CCAM, 
Barby_ccam3,ccam01184,CCAM, 
Kibnas_ccam,ccam02184,CCAM, 
Sky,ccam03184,CCAM, 
Wereldsend,ccam15039,CCAM, 
Station,ccam15039,CCAM, 
Rehoboth,ccam01187,CCAM, 
Sky,ccam02187,CCAM, 
CCAM_CCCT_Pass_Triad,ccam03187,CCAM, 
MCAM_CT_White_Raster,ccam04187,CCAM, 
MCAM_Green,ccam05187,CCAM, 
MCAM_CT_Triad,ccam06187,CCAM, 
Oponono,ccam01189,CCAM, 
Khakabas,ccam02189,CCAM, 
Cal Target 10,ccam03189,CCAM, 
Warmbad,ccam15042,CCAM, 
Zebra_Pan,ccam15042,CCAM, 
Messum,ccam01191,CCAM, 
Karoo,ccam02191,CCAM, 
Cal Target 10,ccam03191,CCAM, 
Cal Target 9,ccam03191,CCAM, 
Cal Target 8,ccam03191,CCAM, 
Cal Target 7,ccam03191,CCAM, 
Cal Target 6,ccam03191,CCAM, 
Cal Target 4,ccam03191,CCAM, 
Cal Target 3,ccam03191,CCAM, 
Cal Target 2,ccam03191,CCAM, 
Karfenkliff,ccam01194,CCAM, 
Grillental,ccam02194,CCAM, 
MCAM_CT_White_Raster,ccam03194,CCAM, 
MCAM_CT_Triad,ccam04194,CCAM, 
MCAM_Green,ccam05194,CCAM, 
Homeb,ccam01196,CCAM, 
Sky,ccam02196,CCAM, 
Cal Target 9,ccam03196,CCAM, 
Cal Target 5,ccam03196,CCAM, 
Duineveld_centre,ccam01198,CCAM, 
Spitzkop,ccam02198,CCAM, 
Duineveld,ccam04198,CCAM, 
Spitzkop,ccam05198,CCAM, 
Hope_Mine,ccam15041,CCAM, 
Engo,ccam15041,CCAM, 
Duineveld,ccam01200,CCAM, 
Matchless,ccam02200,CCAM, 
Nama,ccam03200,CCAM, 
Duineveld,ccam04200,CCAM, 
Noctivaga,ccam01201,CCAM, 
Matchless_2,ccam02201,CCAM, 
Auob,ccam03201,CCAM, 
Duineveld_2,ccam04201,CCAM, 
Duineveld_2,ccam01202,CCAM, 
Turret_Sieve,ccam02202,CCAM, 
Aus,ccam03202,CCAM, 
Aukas,ccam04202,CCAM, 
Greenhorn_post_sieve_dump,ccam05202,CCAM, 
Sky,ccam06202,CCAM, 
Greenhorn_post_sieve_dump,ccam07202,CCAM, 
Hunkab,ccam01214,CCAM, 
Sky,ccam01215,CCAM, 
Sky,ccam01216,CCAM, 
Probeer,ccam01221,CCAM, 
Slangpos,ccam02221,CCAM, 
Sky,ccam03221,CCAM, 
Hebron_RMI_1225,ccam01225,CCAM, 
Doros,ccam02225,CCAM, 
Gobabeb_Scoop1_dumpB_gt_150_ccam,ccam01228,CCAM, 
Gobabeb_Scoop1_dumpA_lt_150_ccam,ccam02228,CCAM, 
Gobabeb_Scoop1_dumpA_lt_150_ccam,ccam03228,CCAM, 
Gobabeb_Scoop1_dumpB_gt_150_ccam_2,ccam04228,CCAM, 
Gobabeb_DumpA_night,ccam01232,CCAM, 
Sanitatis,ccam02232,CCAM, 
Sanitatis_center,ccam03232,CCAM, 
Gobabeb_Scoop2_DumpD_gt_1mm,ccam04232,CCAM, 
Gobabeb_Scoop2_DumpC_150-1_ccam,ccam05232,CCAM, 
Gobabeb_Scoop2_DumpD_to_DumpC,ccam06232,CCAM, 
Dwyka,ccam07232,CCAM, 
LD_RMI_loc34_l2r,ccam08232,CCAM, 
Etjo,ccam01235,CCAM, 
Etjo,ccam02235,CCAM, 
Hebron_RMI_1225,ccam03235,CCAM, 
Husab,ccam04235,CCAM, 
Gobabeb_DumpA_night,ccam05235,CCAM, 
Gobabeb_DumpA_night,ccam08235,CCAM, 
Etjo,ccam09235,CCAM, 
Sky,ccam10235,CCAM, 
Peace_Vallis_Fan_Sol1237,ccam01237,CCAM, 
Sky,ccam02237,CCAM, 
Erongo,ccam15043,CCAM, 
Sky,ccam03237,CCAM, 
Gosser_Schroffenstein_RMI,ccam01239,CCAM, 
Gosser_Schroffenstein,ccam02239,CCAM, 
Gosser_Schroffenstein_RMI,ccam03239,CCAM, 
MCAM_CT_Triad,ccam04239,CCAM, 
