target_plan,Sequence,inst_type,notes
Hayhook,ccam03150,CCAM, 
Hudson_Bay,ccam04150,CCAM, 
Laddie,ccam01151,CCAM, 
Quartet,ccam02151,CCAM, 
Redstone,ccam03151,CCAM, 
Little_Dal,ccam04151,CCAM, 
Hay_Creek_ND,ccam01152,CCAM, 
Quartet_ND,ccam02152,CCAM, 
Cal Target 11,ccam01153,CCAM, 
Cal Target 10,ccam02153,CCAM, 
Cal Target 9,ccam02153,CCAM, 
Cal Target 8,ccam02153,CCAM, 
Cal Target 7,ccam02153,CCAM, 
Cal Target 6,ccam02153,CCAM, 
Cal Target 4,ccam02153,CCAM, 
Cal Target 3,ccam02153,CCAM, 
Cal Target 2,ccam02153,CCAM, 
Selwyn,ccam01154,CCAM, 
John_Klein_CCAM_new,ccam01155,CCAM, 
Selwyn,ccam01157,CCAM,Selwyn_1
Selwyn,ccam02157,CCAM,Selwyn_2
Kipalu,ccam03157,CCAM, 
Selwyn,ccam01159,CCAM,Selwyn_3
Tindir_1,ccam02159,CCAM, 
Mavor,ccam02160,CCAM, 
Nastapoka,ccam03160,CCAM, 
Shezal,ccam02161,CCAM, 
Cape_Smith,ccam01164,CCAM, 
Kootenay,ccam02164,CCAM, 
Cal Target 10,ccam03164,CCAM, 
Cal Target 10,ccam01165,CCAM, 
John_Klein_RP2,ccam02165,CCAM, 
John_Klein_RP3,ccam03165,CCAM, 
Tukarak,ccam04165,CCAM, 
DT_RP5_STG,ccam01166,CCAM, 
DT_RP6,ccam02166,CCAM, 
Drill_tip_1,ccam15011,CCAM, 
Cal Target 11,ccam01169,CCAM, 
MCAM_CT_WhiteMagnet,ccam02169,CCAM, 
Sutton_Inlier,ccam03169,CCAM, 
Lucas_Creek,ccam04169,CCAM, 
Cal Target 10,ccam01171,CCAM, 
Bonnet_Plume_Distance,ccam02171,CCAM, 
Wernecke_1,ccam01172,CCAM, 
Drill_tip_1,ccam15010,CCAM, 
Drill_tip_1,ccam15012,CCAM, 
Drill_tip_1,ccam15014,CCAM, 
Thundercloud,ccam03172,CCAM, 
Sutton_Inlier_2,ccam01174,CCAM, 
Gog,ccam01176,CCAM, 
Nanok,ccam02176,CCAM, 
Nanok,ccam03176,CCAM, 
Cal Target 11,ccam04176,CCAM, 
Cal Target 10,ccam15004,CCAM, 
Jolliffe,ccam01181,CCAM, 
McGrath,ccam02181,CCAM, 
Nanok,ccam03181,CCAM, 
Wernecke_1,ccam04181,CCAM, 
Wernecke_1,ccam01183,CCAM, 
Drilltailings,ccam02183,CCAM, 
Cal Target 11,ccam03183,CCAM, 
Amer,ccam04183,CCAM, 
Kazan,ccam05183,CCAM, 
Pitz,ccam06183,CCAM, 
Bylot,ccam07183,CCAM, 
Rae,ccam08183,CCAM, 
Cumberland,ccam01184,CCAM, 
Seward,ccam02184,CCAM, 
Byng,ccam03184,CCAM, 
Wabush,ccam04184,CCAM, 
Fury,ccam05184,CCAM, 
Nanok2,ccam06184,CCAM, 
McGrath,ccam07184,CCAM, 
Doublet,ccam01186,CCAM, 
Mugford,ccam02186,CCAM, 
Cumberland,ccam01187,CCAM, 
seward_1,ccam02187,CCAM, 
Kazan,ccam01188,CCAM, 
Swampy_bay,ccam02188,CCAM, 
Byng,ccam03188,CCAM, 
Fury,ccam04188,CCAM, 
McGrath,ccam01189,CCAM, 
Rae,ccam02189,CCAM, 
Iqqittuq,ccam03189,CCAM, 
Shabogamo,ccam04189,CCAM, 
Bylot,ccam01192,CCAM, 
Rae,ccam02192,CCAM, 
Cal Target 10,ccam03192,CCAM, 
Cal Target 9,ccam03192,CCAM, 
Cal Target 8,ccam03192,CCAM, 
Cal Target 7,ccam03192,CCAM, 
Cal Target 6,ccam03192,CCAM, 
Cal Target 5,ccam03192,CCAM, 
Cal Target 4,ccam03192,CCAM, 
Cal Target 3,ccam03192,CCAM, 
Cal Target 2,ccam03192,CCAM, 
Cal Target 1,ccam03192,CCAM, 
McGrath,ccam01193,CCAM, 
