sclk,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
550179678,CL5_550179678CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,27.84768,7.0218825,1.6899,7.5494637,3.4402876,0.526943684,4.347284,2.9563947,0.69,12.429752,3.0189734,0.6,3.5134124,1.6965531,1.695,1.9268478,0.99008012,0.8,0.96314345,0.54957461,0.8,0.14393867,0.53995442,0.8,58.721522,2.49E+15
550179745,CL5_550179745CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,35.444475,6.1380825,1.2922,3.9130005,1.6957253,0.771007572,3.7046886,2.8699257,0.67,21.282604,4.3884535,1.665,2.9008617,1.6390294,0.91,2.7561531,1.1355652,1.6,0.69420858,0.46277493,1.6,0.13737969,0.53995442,1.6,70.833372,2.59E+15
550179981,CL5_550179981CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,34.747504,6.2438879,1.6922,8.9279071,4.1016874,0.774576958,3.033777,2.7875447,0.3,10.386553,2.7182853,1.665,3.4365354,1.6897905,0.725,2.414261,1.0698709,0.4,0.89348254,0.52841759,0.4,0.14905419,0.54270434,0.4,63.989075,2.43E+15
550180057,CL5_550180057CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,34.347245,6.3038607,1.2945,8.7159028,4.0010395,0.540873582,5.4202859,3.1048291,0.12,9.1970258,2.5443628,0.515,3.4759083,1.6936548,1.79,2.6273547,1.1105269,0.3,1.038976,0.57196569,0.3,0.13520584,0.53995442,0.3,64.957904,2.46E+15
550180124,CL5_550180124CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,34.683365,6.2546153,1.6945,8.1614723,3.7326453,0.33164749,4.4388641,2.9687653,0.4,13.882089,3.2273417,0.7,3.0555946,1.6538107,0.87,2.573291,1.0989708,0.4,0.90018307,0.53152555,0.4,0.14608329,0.54270434,0.4,67.840942,2.49E+15
550180360,CL5_550180360CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,35.99283,6.0528588,1.2968,8.2865064,3.794951,0.753670303,4.4317939,2.9673908,0.1,8.7663029,2.4832428,1.895,3.7464418,1.7202414,1.58,2.5352678,1.0931927,0.3,0.90328232,0.53152555,0.3,0.1420017,0.53995442,0.3,64.804427,2.56E+15
550180436,CL5_550180436CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,27.104921,7.0607581,1.6968,5.5255396,2.4721513,0.195103074,3.1529511,2.8017426,0.72,23.491006,4.572217,1.915,3.7041601,1.7151881,1.75,3.186247,1.225374,0.4,0.88808117,0.52841759,0.4,0.14574159,0.54270434,0.4,67.198648,2.06E+15
550180503,CL5_550180503CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,34.752533,6.2438879,1.2991,9.0967054,4.1831636,0.61067093,3.5835081,2.8547668,0.3,11.526994,2.8873074,1.855,3.611846,1.706214,1.64,2.8424041,1.1512256,0.6,1.0078701,0.56374848,0.6,0.14632542,0.54270434,0.6,66.568186,2.56E+15
550180569,CL5_550180569CCS_F0632672CCAM01720P1.SAV,Marlboro_Beach,34.039838,6.350121,1.6991,10.082399,4.652854,0.790823292,5.2923367,3.0867946,0.92,13.575808,3.1842749,0.525,3.7209567,1.7172095,1.705,2.5604623,1.0970447,0.1,1.1251257,0.59397447,0.1,0.14368457,0.53995442,0.1,70.540611,2.40E+15
427227367,CL5_427227367CCS_F0080000CCAM03335P3.SAV,Marquette,36.415367,5.9862342,1.3014,11.833919,5.4915853,0.085851178,3.6524016,2.8636096,0.05,8.6790931,2.4705842,1.75,3.6512119,1.7101347,1.545,2.5423801,1.0931927,1.2,0.9987223,0.56098753,1.2,0.14327715,0.53995442,1.2,67.916372,2.24E+15
427227436,CL5_427227436CCS_F0080000CCAM03335P3.SAV,Marquette,37.355275,5.8423772,1.7014,9.027633,4.1496143,0.607371404,3.4569543,2.839608,0.96,11.719836,2.915277,0.9,3.5547336,1.7004174,1.65,2.5180974,1.0893407,0.4,1.0150052,0.56650937,0.4,0.14649118,0.54270434,0.4,68.794026,2.19E+15
427227499,CL5_427227499CCS_F0080000CCAM03335P3.SAV,Marquette,36.408944,5.9877791,1.3037,9.0457447,4.1591997,0.591466011,6.3792228,3.2334952,0.62,11.843465,2.9329419,0.895,3.3790267,1.6839939,1.81,2.8174292,1.1471214,0.5,1.0301718,0.56927031,0.5,0.14341548,0.53995442,0.5,71.04742,2.17E+15
